Label,URL,brand,name,price,skin_type,ingredients,brand,name,price,skin_type,ingredients
bath-and-body-soap,https://www.sephora.com/product/necessaire-the-body-exfoliator-P459728?skuId=2364172&icid2=products%20grid:p459728,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/body-cleanser-P449773?icid2=products%20grid:p449773,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/drunk-elephant-kamili-cream-body-cleanser-P457686?icid2=products%20grid:p457686,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/fresh-cream-shampoo-shower-gel-bubble-bath-P388649?icid2=products%20grid:p388649,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/sugar-lemon-shower-gel-P7823?icid2=products%20grid:p7823,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/brown-sugar-bath-shower-gel-P286403?icid2=products%20grid:p286403,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/fresh-hesperides-grapefruit-bath-shower-gel-P454818?icid2=products%20grid:p454818,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/coconut-milk-bath-soak-P431840?icid2=products%20grid:p431840,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/coconut-frosting-P42069?icid2=products%20grid:p42069,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/all-over-wash-for-face-hair-body-P12568?icid2=products%20grid:p12568,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/high-cbd-formula-bath-salts-P448194?icid2=products%20grid:p448194,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/shea-butter-extra-gentle-soap-P39955?icid2=products%20grid:p39955,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/lavender-harvest-foaming-bath-P39950?icid2=products%20grid:p39950,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/crushed-amethyst-exfoliating-body-polish-P442002?icid2=products%20grid:p442002,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/wood-sage-sea-salt-body-hand-wash-P417206?icid2=products%20grid:p417206,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/goop-g-tox-5-salt-detox-body-scrub-P458970?icid2=products%20grid:p458970,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/coco-mademoiselle-P20375?icid2=products%20grid:p20375,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/almond-coconut-honey-bath-P380668?icid2=products%20grid:p380668,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/pure-grace-foaming-bath-shower-gel-P69718?icid2=products%20grid:p69718,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/shower-gel-P412113?icid2=products%20grid:p412113,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/prima-bath-gem-effervescent-cbd-mineral-soak-for-relaxation-recovery-P456216?icid2=products%20grid:p456216,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/fresh-sugar-lychee-bath-shower-gel-P454816?icid2=products%20grid:p454816,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/english-pear-freesia-body-hand-wash-P417207?icid2=products%20grid:p417207,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/creme-de-corps-soy-milk-honey-body-polish-P422251?icid2=products%20grid:p422251,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/almond-exfoliating-smoothing-delicious-paste-P392873?icid2=products%20grid:p392873,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/citron-de-vigne-shower-gel-P259802?icid2=products%20grid:p259802,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/rice-sake-bath-P12857?icid2=products%20grid:p12857,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/goop-the-martini-emotional-detox-bath-soak-P458966?icid2=products%20grid:p458966,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/atlantic-kelp-magnesium-salt-anti-fatigue-exfoliating-body-scrub-P432660?icid2=products%20grid:p432660,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/moroccanoil-body-tm-soap-P438602?icid2=products%20grid:p438602,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/eau-parfumee-au-the-vert-shampoo-and-shower-gel-P400316?icid2=products%20grid:p400316,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/fresh-life-bath-shower-gel-P392524?icid2=products%20grid:p392524,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/eczema-foaming-oil-body-wash-P442847?icid2=products%20grid:p442847,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/hesperides-grapefruit-oval-soap-P178410?icid2=products%20grid:p178410,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/citron-de-vigne-oval-soap-P234922?icid2=products%20grid:p234922,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/creme-de-corps-smoothing-oil-to-foam-body-cleanser-P426827?icid2=products%20grid:p426827,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/shower-sheets-large-body-wipes-P415782?icid2=products%20grid:p415782,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/lime-basil-mandarin-body-hand-wash-P417203?icid2=products%20grid:p417203,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/shea-shower-oil-P428817?icid2=products%20grid:p428817,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/mimosa-cardamom-body-hand-wash-P417205?icid2=products%20grid:p417205,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/atlantic-kelp-magnesium-anti-fatigue-body-wash-P436089?icid2=products%20grid:p436089,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/sparkle-skin-body-exfoliator-P122749?icid2=products%20grid:p122749,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/morroccan-rose-otto-body-wash-P378016?icid2=products%20grid:p378016,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/invigorating-rush-hair-body-wash-P376886?icid2=products%20grid:p376886,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/verbena-shower-gel-P39890?icid2=products%20grid:p39890,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/body-polishing-scrub-P451616?icid2=products%20grid:p451616,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/freesia-oval-soap-P193706?icid2=products%20grid:p193706,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/j-adore-soap-P380620?icid2=products%20grid:p380620,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/eau-parfumee-au-the-blanc-shampoo-and-shower-gel-P380574?icid2=products%20grid:p380574,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/n-5-cleasing-cream-P383810?icid2=products%20grid:p383810,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/neroli-portofino-shower-gel-P380647?icid2=products%20grid:p380647,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/flowerbomb-shower-gel-P409340?icid2=products%20grid:p409340,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/chance-eau-fra-206che-P261327?icid2=products%20grid:p261327,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/turbo-body-bar-scrubbing-soap-P394957?icid2=products%20grid:p394957,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/crushed-cabernet-scrub-P100101?icid2=products%20grid:p100101,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/chance-eau-vive-foaming-shower-gel-P415959?icid2=products%20grid:p415959,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/shower-shake-P443518?icid2=products%20grid:p443518,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/almond-shower-shake-P446633?icid2=products%20grid:p446633,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/marshmallow-whipped-hand-cuticle-scrub-P416777?icid2=products%20grid:p416777,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/purity-made-simple-3-in-1-shower-bath-shave-gel-P399108?icid2=products%20grid:p399108,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/cocoa-body-exfoliant-P400252?icid2=products%20grid:p400252,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/get-off-callus-softener-intensive-treatment-P438934?icid2=products%20grid:p438934,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/peter-thomas-roth-hand-sanitizer-alcohol-antiseptic-80-topical-solution-P459838?icid2=products%20grid:p459838,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/basil-neroli-body-hand-wash-P417209?icid2=products%20grid:p417209,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/unconditional-love-shampoo-bath-shower-gel-P234101?icid2=products%20grid:p234101,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/goop-g-tox-glacial-marine-clay-body-cleanser-P458969?icid2=products%20grid:p458969,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/verbena-oval-soap-P193705?icid2=products%20grid:p193705,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/cinema-secrets-spray-sanitizer-P460560?icid2=products%20grid:p460560,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/charcoal-body-bar-massaging-soap-P431732?icid2=products%20grid:p431732,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/acqua-di-parma-colonia-hand-soap-P460439?icid2=products%20grid:p460439,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/geranium-walnut-body-scrub-P418382?icid2=products%20grid:p418382,,,,,,,,,,
bath-and-body-soap,https://www.sephora.com/product/fresh-life-oval-soap-P388685?icid2=products%20grid:p388685,,,,,,,,,,
